source_label,native_category,visual_category,occurrence_count,workflow_count,workflow_ids,recommended_state,note
Cell crossover current density,device,device,8,8,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; differential-cell-testing; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CL on substrate,component,component,8,8,electrospray-deposition-of-catalyst-layers; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-pewe-single-cell-benchtop-test; mechanical-properties-of-catalyst-layers-gdls-and-meas-by-small-punch-and-nanoindentation; sheet-resistance-measurement; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
"Electron tomography for Pt, C and ionomer distribution in CL",,method,8,8,blade-coating-and-decal-transfer-for-ref-pefc-ccm; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; electrospray-deposition-of-catalyst-layers; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-classification-on-tem-data; image-tem-data-parameter-extraction-3d; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL stress-strain curve,component,component,8,8,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; electrical-conductivity; electrical-contact-resistance; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; gdl-compressability,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate water retention curve,component,component,8,8,cea-mea-model-europium-2d; ct-based-capillary-pressure-saturation-curves; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-performance-model-for-mea-prediction; image-x-ray-tomography-data-parameter-extraction-3d; simulation-of-two-phase-3d-apparent-properties; water-retention-curve-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Hg porosimetry GDL,,method,10,8,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fitting-of-the-europium-model; hg-porosimetry-gdl; iet-1d-performance-model-for-mea-prediction; impregnation-by-immersion-and-blade-coating; mpl-parameter-estimation-from-gdl-and-substrate-data,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
High resolution electron tomography for accessing Pt and ionomer distribution on carbon aggregate,,method,15,8,blade-coating-and-decal-transfer-for-ref-pefc-ccm; distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; electrospray-deposition-of-catalyst-layers; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-classification-on-tem-data; image-tem-data-parameter-extraction-3d; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ionomer,material,material,8,8,cl-for-rde; dropcasted-ink-on-gc-tips; gde-catalytic-layer-preparation; ink-preparation-for-deposition-of-catalytic-layers; irras-operando-or-in-situ-ftir; prism-preparation-for-atr-ftir; roller-mixer-and-zirconia-beads-for-ref-pefc-inks; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IRRAS operando/in-situ FTIR,,method,16,8,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; density-potential-functional-theory-applied-to-supported-electrocatalysts; dft-onto-idealized-surfaces; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; irras-operando-or-in-situ-ftir; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
LRE pH distribution (idealized),LRE,device,8,8,confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-acidic-med; confocal-laser-scanning-microscope-clsm-and-fluorescent-probes-for-local-ph-assessment-in-alkaline-m; fitting-version-of-the-hierachical-model; hierarchical-model-for-electrocatalytic-reactions; manual-icpees-cnrs-unistra-exp-clsm-acidic-supported-electrodes; rde-simulation-in-comsol; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MEA assembly for PEFC ref MEA,,process,8,8,blade-coating-and-decal-transfer-for-ref-pefc-ccm; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; differential-cell-testing; electrospray-deposition-of-catalyst-layers; impregnation-by-immersion-and-blade-coating; mea-assembly-for-pefc-ref-mea; microscopy-sem-and-optical-in-mea-cross-section; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Molecular Dynamics for the Electrode | Electrolyte Interface - MetalWalls,,method,8,8,density-potential-functional-theory-applied-to-supported-electrocatalysts; dip-and-pull-operando-or-in-situ-xps; hierarchical-model-for-electrocatalytic-reactions; irras-operando-or-in-situ-ftir; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE rotation rate,component,component,8,8,diffusion-theory; rde-on-mono-or-polycrystalline-electrodes; rde-on-nanostructured-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE temperature,component,component,8,8,diffusion-theory; rde-on-mono-or-polycrystalline-electrodes; rde-on-nanostructured-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Adsorbate Surface Diffusion on Electrocatalyst Support,,method,7,7,adsorbate-surface-diffusion-on-electrocatalyst-support; dft-onto-idealized-surfaces; rde-on-mono-or-polycrystalline-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst active particle diameter,material,material,7,7,iet-ink-to-composition-model; image-tem-data-parameter-extraction-3d; manual-cea-exp-tem-eds-analysis-cl; manual-fzj-mod-stardist-temseg; manual-fzj-mod-starplatin-temseg; sem-and-fib-powder; tem-and-eds-analysis-of-mea,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst-support ratio,component,component,7,7,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; iet-composition-to-property-model; iet-ink-to-composition-model; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; image-tem-data-parameter-extraction-3d,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL ORR apparent Tafel slope(s),component,component,7,7,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell EIS,device,device,7,7,cea-mea-model-europium-2d; differential-cell-testing; manual-ciemat-exp-effective-proton-conductivity; manual-ciemat-exp-single-cell-polarization-eis; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CT-based capillary pressure saturation curves,,method,13,7,cea-mea-model-europium-2d; ct-based-capillary-pressure-saturation-curves; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-performance-model-for-mea-prediction; image-classification-of-x-ray-tomography-data; impregnation-by-immersion-and-blade-coating,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Density-potential functional theory applied to supported electrocatalysts,,model,7,7,density-potential-functional-theory-applied-to-supported-electrocatalysts; dip-and-pull-operando-or-in-situ-xps; irras-operando-or-in-situ-ftir; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Diffusion Theory,,model,7,7,diffusion-theory; hierarchical-model-for-electrocatalytic-reactions; rde-on-mono-or-polycrystalline-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL effective O2 diffusivity,component,component,7,7,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; diffusivities-from-tortuosities; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate average pore radius,component,component,7,7,cea-mea-model-europium-2d; fitting-of-the-europium-model; hg-porosimetry-gdl; image-x-ray-tomography-data-parameter-extraction-3d; mpl-parameter-estimation-from-gdl-and-substrate-data; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate in-plane conductivity,component,component,7,7,cea-mea-model-europium-2d; electrical-conductivity; electrical-tlm-characterization-of-a-gdl-with-defined-compression; fitting-of-the-europium-model; mpl-parameter-estimation-from-gdl-and-substrate-data; simulation-of-single-phase-3d-apparent-properties; voxel-based-3d-electric-conductiviy-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate in-plane permeability,component,component,7,7,cea-mea-model-europium-2d; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; mpl-parameter-estimation-from-gdl-and-substrate-data; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-permability-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate through-plane conductivity,component,component,7,7,cea-mea-model-europium-2d; electrical-conductivity; electrical-contact-resistance; fitting-of-the-europium-model; mpl-parameter-estimation-from-gdl-and-substrate-data; simulation-of-single-phase-3d-apparent-properties; voxel-based-3d-electric-conductiviy-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate through-plane permeability,component,component,7,7,cea-mea-model-europium-2d; fitting-of-the-europium-model; gas-permeability-of-a-gdl-with-defined-compression; mpl-parameter-estimation-from-gdl-and-substrate-data; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-permability-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate through-plane tortuosity,component,component,7,7,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fitting-of-the-europium-model; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Membrane thickness,component,component,7,7,0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; cea-mea-model-europium-2d; differential-cell-testing; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-prediction; sem-and-fib-layer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
MPL tortuosity,component,component,7,7,cea-mea-model-europium-2d; current-modulated-hydrogen-flow-rate-spectroscopy-ch2s; diffusivities-from-tortuosities; fitting-of-the-europium-model; simulation-of-single-phase-3d-apparent-properties; simulation-of-two-phase-3d-apparent-properties; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Pulsed gas analysis,,method,7,7,blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-fitting; impregnation-by-immersion-and-blade-coating; pulsed-gas-analysis; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RDE electrochemical protocol,component,component,7,7,fitting-version-of-the-hierachical-model; rde-on-mono-or-polycrystalline-electrodes; rde-on-nanostructured-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RRDE simulation in COMSOL,,model,7,7,adsorbate-surface-diffusion-on-electrocatalyst-support; diffusion-theory; fitting-version-of-the-hierachical-model; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RRDE Theory,,model,7,7,fitting-version-of-the-hierachical-model; rde-on-mono-or-polycrystalline-electrodes; rde-simulation-in-comsol; rrde-on-model-electrodes-in-acidic-solutions; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Ab-initio molecular dynamics (AIMD) of the solid-liquid interface at a Pt electrode,,method,6,6,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; dip-and-pull-operando-or-in-situ-xps; irras-operando-or-in-situ-ftir; operando-or-in-situ-xas-photon-out; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL effective double-layer capacitance,component,component,6,6,cea-mea-model-europium-2d; differential-cell-testing; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL effective O2 diffusivity,component,component,6,6,diffusivities-from-tortuosities; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-1d-performance-model-for-mea-fitting; iet-1d-performance-model-for-mea-prediction; iet-composition-to-property-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell high-frequency resistance,device,device,6,6,data-extraction-from-existing-pewe-measurements-u-i-t; differential-cell-testing; eis-on-pewe-cells; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-fitting; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CL on membrane,component,component,6,6,electrospray-deposition-of-catalyst-layers; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; gde-cell-for-electrochemical-studies; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-pewe-single-cell-benchtop-test; sheet-resistance-measurement,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
dip-and-pull operando/in-situ XPS,,method,6,6,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; density-potential-functional-theory-applied-to-supported-electrocatalysts; dft-onto-idealized-surfaces; dip-and-pull-operando-or-in-situ-xps; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Fitting of the Europium model,model,model,6,6,manual-ciemat-exp-effective-proton-conductivity; manual-ciemat-exp-single-cell-polarization-eis; manual-hte-exp-cell-testing; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
GDL substrate 3D voxel data wet raw,meso,data,6,6,contact-angle-extraction-of-ct-data; ct-based-capillary-pressure-saturation-curves; image-classification-of-x-ray-tomography-data; lab-ct-measurements-on-gdl-or-mpl-materials; mpl-saturation-determination-from-x-ray-ct-data; synch-ct-measurements-on-gdl-or-mpl-materials,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
IET ink to composition model,model,model,6,6,manual-cea-exp-tem-eds-analysis-cl; manual-ciemat-exp-single-cell-polarization-eis; manual-fzj-mod-stardist-temseg; manual-fzj-mod-starplatin-temseg; manual-icpees-cnrs-unistra-exp-n2-adsorption-ex-situ; manual-icpees-cnrs-unistra-psi-exp-in-situ-ftir-atr-configuration-nanostructured,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Image classification on TEM data,,method,6,6,distribution-of-contact-angles-in-ccl-fib-sem-image-from-ionomer-reconstruction; electron-tomography-for-pt-c-and-ionomer-distribution-in-cl; high-resolution-electron-tomography-for-accessing-pt-and-ionomer-distribution-on-carbon-aggregate; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-classification-on-tem-data; image-tem-data-parameter-extraction-3d,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
LRE species distribution (idealized),LRE,device,6,6,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; hierarchical-model-for-electrocatalytic-reactions; in-situ-fourier-transformed-ir-in-atr-configuration; manual-dtu-mod-machine-learning-force-fields; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
operando SAXS/WAXS (small/wide angle X-ray spectroscopy),,method,6,6,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; density-potential-functional-theory-applied-to-supported-electrocatalysts; dft-onto-idealized-surfaces; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls; operando-saxs-or-waxs-small-or-wide-angle-x-ray-spectroscopy,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
operando/in-situ XAS (photon-out),,method,6,6,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; density-potential-functional-theory-applied-to-supported-electrocatalysts; dft-onto-idealized-surfaces; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls; operando-or-in-situ-xas-photon-out,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
PTL,component,component,6,6,contact-resistance-measurement; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test; manual-nel-exp-ptl-bulk-resistance; manual-nel-exp-ptl-porosity-contact-angle,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Rotating Ring Disk Electrode (RRDE),,method,6,6,blade-coating-and-decal-transfer-for-ref-pefc-ccm; electrospray-deposition-of-catalyst-layers; image-fib-tomography-dataparameter-extraction-3d; image-parameter-extraction-2d; rotating-ring-disk-electrode-rrde; ultrasonic-spray-deposition-for-catalytic-layers,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RRDE on model electrodes in acidic solutions,,model,12,6,adsorbate-surface-diffusion-on-electrocatalyst-support; diffusion-theory; fitting-version-of-the-hierachical-model; rrde-on-model-electrodes-in-acidic-solutions; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
RRDE on model electrodes in alkaline solutions,,model,12,6,adsorbate-surface-diffusion-on-electrocatalyst-support; diffusion-theory; fitting-version-of-the-hierachical-model; rrde-on-model-electrodes-in-alkaline-solutions; rrde-simulation-in-comsol; rrde-theory,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Solvent,material,material,6,6,cl-for-rde; dropcasted-ink-on-gc-tips; gde-catalytic-layer-preparation; ink-preparation-for-deposition-of-catalytic-layers; prism-preparation-for-atr-ftir; roller-mixer-and-zirconia-beads-for-ref-pefc-inks,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
thin windows operando/in-situ XPS,,method,6,6,ab-initio-molecular-dynamics-aimd-of-the-solid-liquid-interface-at-a-pt-electrode; density-potential-functional-theory-applied-to-supported-electrocatalysts; dft-onto-idealized-surfaces; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer; molecular-dynamics-for-the-electrode-electrolyte-interface-metalwalls; thin-windows-operando-or-in-situ-xps,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
0D Particle population degradation model (prediction),,model,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction; image-tem-data-parameter-extraction-3d; tem-and-eds-analysis-of-mea,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Adsorbate types on electrode (idealized),LRE,device,5,5,dft-onto-idealized-surfaces; dip-and-pull-operando-or-in-situ-xps; hierarchical-model-for-electrocatalytic-reactions; in-situ-fourier-transformed-ir-in-atr-configuration; molecular-dynamics-for-the-electrode-electrolyte-interface-in-presence-of-ionomer,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst active particle radius distribution (aged),component,component,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst coagulation rate constant,component,component,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst deactivation rate constant,component,component,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst dissolution rate constant,component,component,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst re-deposition rate constant,component,component,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Catalyst surface tension,component,component,5,5,0d-particle-population-degradation-model-coupled-with-performance-model-fitting; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction; 0d-particle-population-degradation-model-coupled-with-performance-model-prediction-without-fitting-methods; 0d-particle-population-degradation-model-fitting; 0d-particle-population-degradation-model-prediction,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL effective water permeability,component,component,5,5,cea-mea-model-europium-2d; fitting-of-the-europium-model; iet-1d-mea-with-water-transport-eis-model; iet-1d-mea-with-water-transport-in-ccl-eis-model; iet-composition-to-property-model,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL structural parameters,component,component,5,5,iet-composition-to-property-model; iet-ink-to-composition-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; image-tem-data-parameter-extraction-3d; microscopy-sem-and-optical-in-mea-cross-section,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CCL tortuosity,component,component,5,5,cea-mea-model-europium-2d; diffusivities-from-tortuosities; fitting-of-the-europium-model; image-based-ccl-effective-transport-property-computation-from-numerical-simulations; voxel-based-3d-effective-diffusivity-simulation,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
Cell limiting current,device,device,5,5,cea-mea-model-europium-2d; differential-cell-testing; fitting-of-the-europium-model; iet-1d-performance-model-for-mea-prediction; manual-ciemat-exp-single-cell-polarization-eis,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CL for RDE,,method,8,5,cl-for-rde; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; impregnation-by-immersion-and-blade-coating; model-electrochemistry-in-a-rde-cell; sheet-resistance-measurement,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CL on glassy carbon,component,component,5,5,cl-for-rde; fib-measurements-on-gdl-or-mpl-and-catalyst-materials; manual-cea-exp-tem-eds-analysis-cl; model-electrochemistry-in-a-rde-cell; sheet-resistance-measurement,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
CL protonic resistance,model,method,5,5,manual-ciemat-exp-effective-proton-conductivity; manual-ciemat-exp-single-cell-polarization-eis; manual-hte-mod-pemfc-4-fold-cell-benchtop-test; manual-nel-exp-large-scale-durability-test; manual-nel-exp-pewe-single-cell-benchtop-test,review_required,Candidate only. It does not create a cross-workflow link until an explicit mapping entry is reviewed and added.
